unicode	name	count
1f55d	"clock face two-thirty"	307404
1f4ea	"closed mailbox with lowered flag"	293992
1f565	"clock face ten-thirty"	287808
1f23a	"squared cjk unified ideograph-55b6"	287344
1f55e	"clock face three-thirty"	286968
1f562	"clock face seven-thirty"	286684
1f55f	"clock face four-thirty"	283564
1f563	"clock face eight-thirty"	278781
1f236	"squared cjk unified ideograph-6709"	275054
1f201	"squared katakana koko"	271693
1f69f	"suspension railway"	270824
1f560	"clock face five-thirty"	265329
1f202	"squared katakana sa"	263564
1f232	"squared cjk unified ideograph-7981"	263009
1f235	"squared cjk unified ideograph-6e80"	261171
1f21a	"squared cjk unified ideograph-7121"	258670
1f4ed	"open mailbox with lowered flag"	254823
1f561	"clock face six-thirty"	250910
1f6a1	"aerial tramway"	250342
1f237	"squared cjk unified ideograph-6708"	249021
1f251	"circled ideograph accept"	245907
1f6b0	"potable water symbol"	239737
1f234	"squared cjk unified ideograph-5408"	233929
1f238	"squared cjk unified ideograph-7533"	232274
1f567	"clock face twelve-thirty"	225454
1f69d	"monorail"	221830
1f6c4	"baggage claim"	213341
1f6a0	"mountain cableway"	205930
1f4c7	"card index"	200097
1f69e	"mountain railway"	199301
1f6c2	"passport control"	195147
1f6af	"do not litter symbol"	191467
1f523	"input symbol for symbols"	187492
1f6b1	"non-potable water symbol"	182733
1f521	"input symbol for latin small letters"	180175
1f520	"input symbol for latin capital letters"	177813
1f524	"input symbol for latin letters"	174478
